round,client_id,epoch,phase,loss,accuracy,precision,recall,f1,model,num_clients,run_id,alpha
3,2,1,train,0.7695081448988106,0.798916576381365,0.8219946724379327,0.6067172264355363,0.6485191556472322,DistilBART,5,20250824_054950,0.1
3,3,1,train,0.698628225981599,0.8229457364341086,0.6127480540228635,0.2942635658914728,0.2892311470418487,DistilBART,5,20250824_054950,0.1
3,4,1,train,0.6094362459980048,0.8901545972335232,0.3767905786652937,0.3026851098454027,0.3239023832510991,DistilBART,5,20250824_054950,0.1
3,0,1,train,0.7887026386283268,0.7775826748609892,0.7212217562463653,0.4302019315188762,0.4408518261292397,DistilBART,5,20250824_054950,0.1
3,1,1,train,0.7336580900498378,0.7895752895752897,0.5619248655185239,0.4204633204633204,0.4211172730838873,DistilBART,5,20250824_054950,0.1
3,-1,1,validation,0.0997226626392384,0.4705570291777188,0.6245486864966584,0.4705570291777188,0.4277365649285745,DistilBART,5,20250824_054950,0.1
4,0,1,train,0.6631451768574314,0.8021656423763536,0.8762982546599833,0.4711735440444834,0.4878218100936822,DistilBART,5,20250824_054950,0.1
4,1,1,train,0.6022321327049055,0.8162162162162163,0.8677719613855178,0.5019305019305019,0.4892347158872693,DistilBART,5,20250824_054950,0.1
4,4,1,train,0.4811723146152186,0.9096826688364524,0.9208030932013612,0.4922701383238405,0.5947364841018888,DistilBART,5,20250824_054950,0.1
4,3,1,train,0.5816984639530725,0.845891472868217,0.8809765545840316,0.324031007751938,0.3425656446638795,DistilBART,5,20250824_054950,0.1
4,2,1,train,0.6437412699665165,0.829035752979415,0.8611375310393122,0.6236186348862405,0.6471472177299619,DistilBART,5,20250824_054950,0.1
4,-1,1,validation,0.0890779417136619,0.5461538461538461,0.6884949953952347,0.5461538461538461,0.5362620065440492,DistilBART,5,20250824_054950,0.1
5,4,1,train,0.424056122006921,0.8991049633848658,0.9304059077286134,0.4963384865744508,0.6020809811776497,DistilBART,5,20250824_054950,0.1
5,2,1,train,0.5481278291262145,0.8500541711809317,0.8870095270733653,0.6626218851570964,0.686406266237676,DistilBART,5,20250824_054950,0.1
5,3,1,train,0.5018022168095749,0.8688372093023256,0.9032636051727088,0.4455813953488372,0.5183376018434654,DistilBART,5,20250824_054950,0.1
5,1,1,train,0.5469771530709149,0.8351351351351352,0.8816519580137208,0.6451737451737452,0.6930439266129739,DistilBART,5,20250824_054950,0.1
5,0,1,train,0.5928880897150418,0.8182616330114135,0.8585586260357999,0.5797483172373427,0.61956048527976,DistilBART,5,20250824_054950,0.1
5,-1,1,validation,0.0848097059628691,0.579840848806366,0.6872071516908823,0.579840848806366,0.5704158732216768,DistilBART,5,20250824_054950,0.1
6,1,1,train,0.488501377771666,0.842857142857143,0.8806495450391104,0.6625482625482626,0.7053254489363747,DistilBART,5,20250824_054950,0.1
6,3,1,train,0.4304490873018409,0.885891472868217,0.9115246133540864,0.5187596899224807,0.6099030411275287,DistilBART,5,20250824_054950,0.1
6,2,1,train,0.4648678591507116,0.8715059588299024,0.8972341367175077,0.6823401950162513,0.7015449029942297,DistilBART,5,20250824_054950,0.1
