round,client_id,epoch,phase,loss,accuracy,precision,recall,f1
18,-1,1,validation,0.08547811883672163,0.6580901856763925,0.7084357940765591,0.6580901856763925,0.6629516232732945
19,3,1,train,0.5281801037490368,0.8733705772811917,0.8862025482589773,0.6229050279329609,0.705136154090527
19,5,1,train,0.21935164432643967,0.9398034398034397,0.9858516797881958,0.7426289926289926,0.8314159526574606
19,1,1,train,0.12394920878796256,0.958669601369528,0.9707368797161409,0.9153827341648325,0.937334538389707
19,0,1,train,0.16293758495214455,0.9542557180352457,0.9327949945070497,0.7529058867641545,0.810011825560206
19,2,1,train,0.11260237219828433,0.9663928304705004,0.9838134219986515,0.8496390341050535,0.8952750010147028
19,4,1,train,0.1289698478977869,0.9637726420986883,0.9856561869719619,0.7089319175515303,0.8158776528217705
19,-1,1,validation,0.08077906372929758,0.6750663129973474,0.7105745535357072,0.6750663129973474,0.6800612015137124
20,1,1,train,0.11874649461424269,0.9606260699437515,0.9717748993857999,0.9095133284421619,0.9331894613902402
20,5,1,train,0.1982903866572123,0.9533169533169533,0.9857109259362169,0.7776412776412777,0.8566640945064553
20,0,1,train,0.15659185259151245,0.9546306711661042,0.9478531185498522,0.802774653168354,0.8543288572865967
20,3,1,train,0.45233398467740593,0.8910614525139665,0.8889953238489023,0.664804469273743,0.7397013407846925
20,4,1,train,0.1206624111769223,0.9725171767645222,0.9879697731120458,0.7232979387882573,0.827722889596321
20,2,1,train,0.10459947253167186,0.968135424446104,0.9837059394325354,0.8894697535474234,0.9258632828666487
20,-1,1,validation,0.08495433764132011,0.6689655172413793,0.7117418675290054,0.6689655172413793,0.6739219120588932
21,4,1,train,0.12537820201072067,0.9681449094316052,0.989196925701497,0.7882573391630231,0.8735752502596181
21,1,1,train,0.10407749488058471,0.9652726828075323,0.9767822974318355,0.8980190755685987,0.9230894680060682
21,2,1,train,0.09199906045574203,0.970873786407767,0.9658695389521416,0.8827483196415236,0.9106330638666407
21,5,1,train,0.18418973082603485,0.9551597051597053,0.9856693475861409,0.765970515970516,0.8498972629689845
21,0,1,train,0.14189652443869027,0.958005249343832,0.941850140658174,0.7956505436820397,0.8452777654141304
21,3,1,train,0.4643809214124785,0.8789571694599627,0.9001918916678997,0.6629422718808193,0.738856889458409
21,-1,1,validation,0.08542650201078751,0.673209549071618,0.7053666781460229,0.673209549071618,0.6741801827840425
22,5,1,train,0.16787451217590155,0.9588452088452089,0.986009918950745,0.7788697788697788,0.8586265989908515
22,0,1,train,0.12297911432287294,0.9673790776152981,0.9488319968922284,0.8387701537307837,0.8777205245739346
22,2,1,train,0.08781044987688166,0.9716206123973115,0.9841440755139784,0.8506348020911128,0.8898742563744264
22,4,1,train,0.10181217500939965,0.976264834478451,0.9878957974498263,0.7651467832604623,0.8569651229200641
22,1,1,train,0.10198698891417735,0.9647835656639765,0.9747519840333061,0.9185619955979457,0.9410030919209488
22,3,1,train,0.46671327247339134,0.8761638733705773,0.8964413544420075,0.6582867783985102,0.7371934038708124
22,-1,1,validation,0.08771122062988876,0.6750663129973474,0.7139753564371389,0.6750663129973474,0.6810925246606976
