model,num_clients,run_id,alpha,client_id,num_samples,kl_to_global,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18,class_19
BART-large,3,20250825_101220,0.1,2.0,4851.0,0.8294230887147853,639.0,775.0,0.0,786.0,0.0,0.0,434.0,268.0,5.0,1.0,0.0,0.0,256.0,120.0,0.0,23.0,510.0,7.0,526.0,501.0
BART-large,3,20250826_061812,0.5,0.0,4735.0,0.4310178103569971,14.0,166.0,14.0,74.0,151.0,465.0,11.0,20.0,461.0,19.0,678.0,652.0,332.0,270.0,543.0,8.0,146.0,275.0,185.0,251.0
BART-large,3,20250826_061812,0.5,1.0,5004.0,0.4097169298742337,45.0,432.0,0.0,255.0,538.0,26.0,16.0,634.0,15.0,550.0,110.0,31.0,175.0,304.0,216.0,652.0,461.0,374.0,130.0,40.0
BART-large,3,20250826_061812,0.5,2.0,5337.0,0.3082845024347578,580.0,180.0,774.0,457.0,81.0,299.0,753.0,138.0,321.0,226.0,11.0,110.0,280.0,218.0,31.0,138.0,121.0,103.0,305.0,211.0
BART-large,10,20250826_015022,0.1,0.0,1293.0,1.5046456920646745,0.0,16.0,8.0,0.0,0.0,3.0,200.0,0.0,16.0,0.0,21.0,38.0,0.0,99.0,0.0,519.0,0.0,0.0,10.0,363.0
BART-large,10,20250826_015022,0.1,1.0,2538.0,1.0141003717374135,0.0,545.0,58.0,0.0,91.0,21.0,0.0,169.0,0.0,113.0,0.0,489.0,0.0,219.0,740.0,0.0,27.0,17.0,5.0,44.0
BART-large,10,20250826_015022,0.1,2.0,1834.0,1.6477845218138445,639.0,0.0,141.0,0.0,600.0,404.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0
BART-large,10,20250826_015022,0.1,3.0,1670.0,1.1838943813129352,0.0,206.0,31.0,69.0,1.0,0.0,0.0,525.0,4.0,0.0,177.0,203.0,9.0,24.0,0.0,0.0,0.0,421.0,0.0,0.0
BART-large,10,20250826_015022,0.1,4.0,1779.0,1.3833439476535525,0.0,0.0,0.0,0.0,57.0,219.0,0.0,0.0,512.0,658.0,254.0,23.0,0.0,10.0,1.0,0.0,0.0,1.0,39.0,5.0
BART-large,10,20250826_015022,0.1,5.0,1046.0,2.051432959221652,0.0,0.0,0.0,430.0,1.0,5.0,0.0,10.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0,11.0,0.0,0.0
