model,training_type,num_clients,run_id,timestamp,round,client_id,epoch,phase,loss,accuracy,precision,recall,f1_score
BART-Large,Federated,3,20250826_061812,20250826_061812,1,-1,1,validation,0.15160716367337052,0.6429708222811671,0.703797623162583,0.6429708222811671,0.6254702462728092
BART-Large,Federated,3,20250826_061812,20250826_061812,2,1,1,train,0.7395886130416736,0.7765787370103917,0.8382712458389524,0.8349320543565147,0.8252566681239191
BART-Large,Federated,3,20250826_061812,20250826_061812,2,0,1,train,0.7550491354824673,0.7714889123548047,0.8414506682186234,0.84350580781415,0.836770421065457
BART-Large,Federated,3,20250826_061812,20250826_061812,2,2,1,train,0.9653139419318316,0.7007682218474799,0.7961044265191806,0.7787146336893386,0.774071245200354
BART-Large,Federated,3,20250826_061812,20250826_061812,2,-1,1,validation,0.11946187910947464,0.7015915119363395,0.7248969530099301,0.7015915119363395,0.6894239353690318
BART-Large,Federated,3,20250826_061812,20250826_061812,3,2,1,train,0.8343159381919234,0.7365561176691025,0.8375089736688229,0.8244332021735057,0.8227731993728056
BART-Large,Federated,3,20250826_061812,20250826_061812,3,0,1,train,0.6424426420975627,0.8059134107708553,0.8725598285507765,0.8728616684266104,0.8679757202138123
BART-Large,Federated,3,20250826_061812,20250826_061812,3,1,1,train,0.6412921176729397,0.8053557154276578,0.858808293241237,0.8519184652278178,0.8451504241741895
BART-Large,Federated,3,20250826_061812,20250826_061812,3,-1,1,validation,0.11072939147416809,0.7238726790450929,0.7454270420752308,0.7238726790450929,0.7211324167415014
BART-Large,Federated,3,20250826_061812,20250826_061812,4,2,1,train,0.719711265420753,0.7749672100430953,0.8417407225369814,0.8296795952782462,0.8270668875160363
BART-Large,Federated,3,20250826_061812,20250826_061812,4,0,1,train,0.5524515426038085,0.8278775079197466,0.8948085083167551,0.891869060190074,0.8881970287600384
BART-Large,Federated,3,20250826_061812,20250826_061812,4,1,1,train,0.5431323234868137,0.8309352517985612,0.9034693956545218,0.8966826538768985,0.8912124278769862
